name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,Season
Mason Mount,MID,Man Utd,0.1,0,0,0,0,0.0,209,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2023-12-23T12:30:00Z,0,19,0,0,0,0,18,0,88061,0,0,2,0.0,0,-900,43,943,68,False,0,18,2023-2024
David Brooks,MID,Bournemouth,0.4,0,0,-2,0,0.3,64,0.0,0.27,0.27,0.04,177,0,0,0.4,0.0,2023-12-23T15:00:00Z,9,16,0,0,0,0,18,0,6797,0,3,2,4.0,1,-230,47,277,48,False,0,18,2023-2024
Pascal Groß,MID,Brighton,6.0,1,2,28,0,81.1,134,0.43,0.54,0.11,1.36,172,1,0,13.9,40.0,2023-12-21T20:00:00Z,90,8,0,0,0,0,18,0,338029,1,1,1,18.0,7,7370,28070,20700,64,False,0,18,2023-2024
John McGinn,MID,Aston Villa,3.7,0,0,11,0,38.2,50,0.33,0.33,0.0,0.56,171,1,0,5.5,14.8,2023-12-22T20:00:00Z,90,17,0,0,0,0,18,0,186582,1,1,1,2.0,2,20664,31005,10341,55,True,0,18,2023-2024
Treymaurice Nyoni,MID,Liverpool,0.0,0,0,0,0,0.0,743,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,99,0,1,1,0.0,0,-3,11,14,45,True,0,18,2023-2024
Tanguy Ndombélé Alvaro,MID,Spurs,0.0,0,0,0,0,0.0,505,0.0,0.0,0.0,0.0,178,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,9,0,0,0,0,18,0,19653,0,1,2,0.0,0,-273,0,273,44,True,0,18,2023-2024
Ben Parkinson,FWD,Newcastle,1.0,0,0,0,0,0.0,739,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,12,0,0,0,0,18,0,2334,0,0,1,0.0,0,-43,232,275,45,False,0,18,2023-2024
Jairo Riedewald,MID,Crystal Palace,0.5,0,0,0,0,0.0,239,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,6690,0,1,1,0.0,0,-164,116,280,44,True,0,18,2023-2024
Reiss Nelson,MID,Arsenal,0.3,0,0,0,0,0.0,578,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,11,0,0,0,0,18,0,4145,0,1,1,0.0,0,-83,50,133,48,False,0,18,2023-2024
Ibrahim Sangaré,MID,Nott'm Forest,0.5,0,0,0,0,0.0,713,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,1185,0,3,2,0.0,0,-60,9,69,49,True,0,18,2023-2024
